final_price,bathrooms,sqft,parking,type,lat,long,city_district,bedrooms_ag,bedrooms_bg
855000,2,850,1,Condo Apt,43.6618956,-79.3857479,Bay Street Corridor,2,1
885000,2,,6,Semi-Detached,43.6469817,-79.5303556,Islington-City Centre West,3,0
550000,1,550,0,Condo Apt,43.708472,-79.3974985,Mount Pleasant West,1,0
665000,1,650,1,Condo Apt,43.6383993,-79.4144482,Niagara,1,1
825513,2,,1,Detached,43.5970962,-79.5096118,New Toronto,2,0
368000,1,250,1,Condo Apt,43.6015185,-79.5100624,New Toronto,0,0
2700000,5,2750,2,Detached,43.7140682,-79.4033381,Lawrence Park South,4,0
200000,2,1100,1,Condo Townhouse,43.7494371,-79.5168481,Glenfield-Jane Heights,3,0
975000,2,1300,1,Plex,43.7114719,-79.3903945,Mount Pleasant East,2,0
269900,1,650,1,Condo Apt,43.8053274,-79.2202291,Malvern,1,0
1057000,2,,1,Semi-Detached,43.6645415,-79.4614763,Junction Area,3,1
1530000,5,3250,4,Detached,43.7388821,-79.304104,Wexford/Maryvale,4,2
2250000,4,2750,2,Semi-Detached,43.6677483,-79.3682785,Cabbagetown-South St. James Town,3,1
2100000,3,1750,2,Detached,43.7496511,-79.3961626,St.Andrew-Windfields,4,0
357500,1,250,1,Condo Apt,43.62187,-79.5215387,Islington-City Centre West,0,0
655000,1,1100,1,Condo Townhouse,43.7285835,-79.3452575,Banbury-Don Mills,3,1
800000,4,,4,Detached,43.8245133,-79.2706506,Milliken,4,1
640100,2,750,1,Condo Apt,43.6245272,-79.4852711,Mimico (includes Humber Bay Shores),2,1
510000,2,,3,Detached,43.7597662,-79.1934829,West Hill,2,3
825000,3,,3,Detached,43.7052095,-79.2615117,Birchcliffe-Cliffside,4,0
325000,1,750,1,Condo Apt,43.7694947,-79.2833883,Dorset Park,1,0
855000,2,900,2,Detached,43.6073187,-79.4967298,Mimico (includes Humber Bay Shores),3,0
478000,1,650,1,Condo Apt,43.714543,-79.4530725,Yorkdale-Glen Park,1,1
775000,2,1100,1,Condo Apt,43.6677624,-79.3809166,Church-Yonge Corridor,2,0
575000,1,900,1,Att/Row/Twnhouse,43.6815008,-79.4936418,Rockcliffe-Smythe,2,0
880000,2,,2,Detached,43.7054863,-79.307917,O'Connor-Parkview,3,1
407000,1,1100,1,Condo Apt,43.7627233,-79.5000028,York University Heights,2,0
1134000,4,,5,Detached,43.5997943,-79.5185178,New Toronto,4,1
555000,1,750,0,Condo Apt,43.6363057,-79.4660892,South Parkdale,2,0
725000,3,1750,1,Att/Row/Twnhouse,43.7364565,-79.4766055,Downsview-Roding-CFB,3,0
1240000,2,1750,0,Semi-Detached,43.6507544,-79.4078639,Trinity-Bellwoods,3,0
625000,2,850,1,Condo Apt,43.6651058,-79.3769009,Cabbagetown-South St. James Town,2,0
1300000,4,2374,2,Condo Apt,43.6706157,-79.4484133,Dovercourt-Wallace Emerson-Junction,3,0
630000,2,850,1,Condo Apt,43.7780172,-79.4166278,Willowdale West,2,1
726000,3,,3,Semi-Detached,43.7538304,-79.4946581,York University Heights,4,0
1300000,4,1300,2,Semi-Detached,43.6751637,-79.3248975,Greenwood-Coxwell,3,1
752500,2,1300,1,Condo Townhouse,43.6704971,-79.4490273,Dovercourt-Wallace Emerson-Junction,3,0
502000,1,650,0,Condo Apt,43.6647233,-79.3840836,Church-Yonge Corridor,1,0
630666,2,850,1,Condo Apt,43.696804,-79.3919164,Mount Pleasant West,1,1
765000,2,950,1,Condo Townhouse,43.6603491,-79.4519198,Dovercourt-Wallace Emerson-Junction,3,0
